Star Rating,Comment
4,không có lỗi gì xảy ra
5,"tốt, không bị lag, nhiều chức năng mới, cam đẹp"
5,Máy đẹp dùng ok tin tưởng hàng Apple
1,Iphone 13 mới mua về sạc đã nóng máy. Mua iphone 2 lần ở Thế giới Di Động đều gặp tình trạng lỗi. Và phải đem đi bảo hành nhiều lần. Rất lầ mất thời gian. Lần sau có mua cũng không mua ở Thế giới Di Động. Ai mua điện thoại nhớ kiểm tra hộp có bị đóng seal hay bị gì không nhé. Chứ điện thoại giảm giá toàn đồ lỗi không á. Người không biết mua mất quyền lợi đó
5,Sản phẩm quá tốt
2,"máy mới nhưng hơi chậm, lâu lâu lại có hiện tượng trượt để nghe nhưng không trượt được"
3,"Thật ra máy cũng bình thường, pin có hơi tụt nhanh thật mà vẫn trong tầm sử dụng được ấy"
5,Sản phẩm ngon bổ rẻ
4,Nhân viên phục vụ tận tình chu đáo
4,Máy sử dụng tốt.
5,Điện thoại dùng tốt!
5,Hàng ổn
3,Cho hỏi mọi người máy ảnh sau của Iphone 13 này sao lại hiện 2 cái vết tròn ngay 2 mắt vậy ạ
4,"Hàng mới nguyên tem hộp, chất lượng"
5,Sản phẩm chất lượng
4,Máy sử dụng ổn mượt
5,"Máy sử dụng ngon, hợp lý trong tầm giá"
3,Mình dùng được gần 4 tháng nhưng tình trạng pin của mình là 99% dù mình dùng rất kỹ đủ pin mới rút ra và đủ 100% pin nhờ kỹ thuật cho mình hỏi vấn đề này ?
5,"Nhân viên phục vụ nhiệt tình, vui vẻ"
5,Ngon mạnh mượt
5,Điện thoại cũng ổn ạ
5,Tốt tuyệt vời
5,"Sản phẩm chính hãng chất lượng,máy rất mượt"
5,Máy chạy rất mượt tốt
5,"Tôi mua sản phẩm do Thế Giới Di Động phân phổi bán, tôi rất hài lòng"
5,Tốt
3,Giá còn cao - trả góp còn mất chênh lệch.
4,"Dùng mượt,chụp ảnh đẹp, bên ngoài máy đẹp"
4,Dùng sau 1 tuần máy vẫn mượt đáng để mua
5,iPhone 13 dùng rất tốt
5,Ai mà không thích màn hình nhỏ nên cân nhắc nhé. Nói chung máy Dùng ổn.
4,Mình thấy hài lòng với sản phẩm này
4,Hiện tại chưa nhận ra lỗi gì ở máy
4,Máy thì sử dụng ổn. Nhưng không hài lòng. Bỏ ra 24tr mà máy bị tróc lớp sơn nhìn rất khó chịu.
3,Rất hài lòng về sản phẩm
4,Tốt
2,Mình mua dùng được 2 tháng mình sử dụng rất kỹ dùng ốp lưng và máy không hề bị rớt. Nhưng mà khi tháo ốp lưng ra viền của máy bị xước cạnh viền như bị tróc sơn vậy.
4,Cũng tốt
4,Tạm ổn
4,Mọi thứ đều rất tốt. Đồ nước ngòai chất lượng quá trời. Phải chi pin đc 5000amh
5,Tuyệt
3,Sao hộp màu đen mà máy màu xanh
5,"Dùng rất ok, vừa tay, lại nhẹ nhàng"
5,"Tải tài nguyên liên quân máy nóng nha, không biết có ai bị như mình không"
4,Hiện tại dùng tốt
4,"Dịch vụ tư vấn tốt, tiện lợi"
5,Thích
4,Mượt
5,"Điện thoại đẹp, nữ dùng rất hợp"
4,"Máy tốt, pin cũng trâu"
5,"Nhân viên lịch sự, máy tốt, rất hài lòng."
4,Iphone 13 mới dùng hơn 1 tháng pin còn 99 là ổn không vậy
1,"Mua không ưng, trả lại còn mất 4 triệu"
5,"Điện thoại tốt, mượt."
4,Mới dùng thấy mượt. Mọi thứ đều ổn. Không biết sau này như thế nào.
5,Iphone quá tốt
5,Sản phẩm tốt
4,"Máy tốt, chất lượng tốt. "
5,Cũng tốt
2,"Rõ lần đầu chuyển sang iPhone mà gặp trường hợp sử dụng bảo vệ ống kính máy ảnh hay gì mà viền ống kính như đã bị lắp lại, cần lời giải thích"
3,Em mua màu trắng 128GB ngày 20/3. Giờ thu lại thì được tầm bao nhiêu ạ
5,"Máy đẹp, pin dùng lâu và rất mát máy."
5,Rất hài lòng
4,Tin tưởng sản phẩm chất lượng cao
5,"Đánh giá sản phẩm tốt, nhân viên tư vấn dễ thương nhiệt tình"
3,Tốc độ vào mạng 4G chậm
5,"Máy dùng ổn, mượt mà, pin khá lâu, cũng được tầm 1 ngày nếu dùng nhiều. Mình mới chuyển từ Androi sang IOS nên chưa quen tay lắm. Đánh giá máy 10 điểm thì đánh giá nhân viên 10+ luôn, rất ưng Thế Giới Di Động."
5,"Mới mua, cũng còn mới, đẹp, chưa thấy lỗi lầm gì."
5,"Sản phầm tốt, dịch vụ và nhân viên đều nhiệt tình"
5,Tốt nha
5,Quá tốt
5,"Dùng êm mượt sạc 100%, Dùng nguyên ngày đến 10h đêm vẫn còn 30% pin"
4,Cho em hỏi tại sao gọi video Zalo máy nóng quá ạ
3,Sử dụng 3 tháng tình trạng pin còn 99%. Mặc dù sử dụng rất cẩn thận và sạc pin tuân thủ sạc đầy 100% mới sử dụng.
5,"Máy đẹp, cấu hình mạnh, sạc nhanh. Còn pin thì thấy cũng ổn."
5,Máy quá ổn.
5,Sản phẩm tốt 5 sao. Nhân viên Thế Giới Di Động tại đây tư vấn rất tốt 6 sao.
4,Hài lòng
4,Mới dùng nên thấy ổn. Pin khỏe.
5,Máy dùng rất tốt
3,Để qua đêm ko chơi tụt 30% pin máy mới mua được 5 hôm.
4,Sản phẩm chất lượng tốt
5,Máy dùng tốt.
1,"Điện thoại lỗi không kết nối được mạng, đã đổi sang con khác vẫn bị. Mọi người cân nhắc trước khi mua."
5,Bạn nhân viên tên Tùng hổ trợ cài đặt chuyển dữ liệu rất nhiệt tình.
5,Pin khá khoẻ. 
1,"Sản phẩm kém mua về Dùng chút nóng. Xem facbook hình đứng tiếng vẫn nói, chơi điện tử báo nóng."
4,"Trước đây đã dùng M51, rất tốt luôn, giờ ra M53 là chọn luôn khỏi phân vân dòng khác."
1,"Điện thoại tệ, sai lầm khi sử dụng M54. Đang trả góp chứ có tiền đổi cái khác ngay. Thua xa A51 của mình sửa lại. Chạy không mượt cảm ứng thì chạm loạn xạ khi sử dụng khoảng 10 ngày là không thích rồi. Xui ngay lúc tết nguyên đán nên không đổi được. Đổi được là đổi rồi. Nói chung là không bao giờ quay lại hàng M nữa. Đánh giá 1 sao."
1,Hàng dễ bị lỗi
2,Cảm biến vân tay và nhận diện khuôn mặt đều hoạt động không tốt
4,Sản phẩm đáng mua
3,"Bắt mạng mạng có vấn đề, nhiều lúc tự động mất mạng, điện thoại trước dùng không bị như vậy"
3,"Lướt khoảng 10 phút là máy nóng, sạc pin cũng nóng quá trời, còn hay bị đứng màn hình nữa, buồn thiệt"
2,"Máy lỗi màn hình, màn hình thay đổi từ ngả tông trắng sang tông vàng khi nghiêng và thay đổi góc nhìn điện thoại"
5,"Hơn 2 tháng sử dụng máy chạy tốt, rất mượt nói chung không bị lỗi gì hết."
2,"Lướt máy khoảng 10,15 phút máy nóng kinh khủng, sạc pin cũng làm máy và cục sạc nóng phải rút ra để nguội rồi sạc tiếp."
3,Dùng được nửa tháng trừ Pin nhanh hết . Có cách nào khắc phục không ạ.
5,Tốt và khá ổn.
5,M54 chạy rất mượt rất ổn. Mình đã mua tại Thế giới di động.
2,"Máy chức năng nhắn tin hiện chữ chậm, khởi động lại máy máy thì lâu hơi lâu."
5,Tốt
2,Sản phẩm đúng thất vọng. Mua khoảng 1 tháng bắt đầu điện thoại bấm không nhạy. Hiện tại thì sạc Pin lúc vô lúc không. Cảm thấy Samsung đag đi lùi.
4,"Sản phẩm khá ổn trong tầm giá, tốt."
2,"Mua từ tháng 11, bán phím không nhạy, chậm và đã thấy đơ máy. Không có tính năng nổi bật gì. Mọi người không nên mua"
1,"Tuần rồi tôi có ghé cửa hàng thế giới di động số 1741,1742 tỉnh lộ 8 xã Hòa Phú, số bao nhiêu tôi không nhớ rõ mà cửa hàng nằm ở ngã 4 hòa phú đối diện Uỷ ban nhân dân, xã Hòa Phú để mua điện thoại Samsung M54, giờ cần sử dụng tai nghe thì mới biết điện thoại không có lỗ ghim tai nghe riêng mà phải ghim chung với lỗ sạc rất bất tiện. Mà trước đó khi xem mua máy thì nhân viên và quản lý không ai tư vấn hay nhắc tới. Xem máy ít tiền thì tư vấn thái độ, mua máy cao thì tư vấn khác liền. Ép mua quá trời mua sạc, dán, dự phòng, sim tùm lum moi tiền tôi mà lại không tư vấn về máy không có lỗ ghim tai nghe. Sao không tư vấn tai nghe không dây thay gì tư vấn sạc dự phòng vậy thử hỏi có quan tâm lợi ích khách hay không. Tôi không hài lòng và sẽ không quay lại cái cửa hàng này nữa vì nhân viên và quản lý rất thái độ và không để ý tới lợi ích quyền lợi của tôi."
3,Mình mua máy này cuối tháng 12 năm 2023. Chụp hình bị kiểu hình bị cắt ngang. Vừa nãy đang gọi Zalo thì màn hình sọc sọc xong tắt nguồn. Khỏi động lại thì chờ cả gần 5 phút. Cứ tưởng máy hư. Xong báo UI nâng cấp phần mềm. Chờ nâng cấp lại gần 5 phút. Máy chưa mua được 1 tháng. 
1,"Mua về Dùng hơn 1 tuần sạc không vô. Đi ra đổi cái khác. Lúc mua tư vấn đủ điều, lúc đổi thì làm qua loa. Điện thoại mới, lột luôn viền keo của cái máy."
3,"Mới mua về dùng tắt nguồn 3 lần, hiện tại dán cường lực xong thì cảm ứng loạn xạ, không mượt mà, đánh điện tử di chuyển lúc di lúc không, viết văn bản thì chữ không mượt nhảy loạn xạ"
2,"Mới dùng được 5 ngày, máy hay tự khởi động lại. Hơi thất vọng về máy"
1,"1 tháng đầu vài lần tắt nguồn, qua tháng thứ 2 tắt nguồn, quá khó chịu luôn, chưa bao giờ mua sản phẩm của Thế Giới Di Động mà thất vọng đến vậy."
5,"Máy chạy ổ định, pin tốt"
5,Máy dùng ổn. Tuy nhiên hay tự động tắt nguồn và không dùng ứng dụng gì cũng hao pin.
3,"Máy mau nóng, pin cũng tạm được, máy ảnh ổn nhưng không quá tốt."
3,Sạc nhanh 67W. Sạc 1 tiếng máy mới đầy. Không hiểu nổi.
3,"Sạc 33w mà từ 50% đến 100%, 1 tiếng mới đầy, nói nhân viên cửa hàng thì quản lý bảo do nhiều ứng dụng chạy ngầm, trong khi đó những dòng khác chạy ngầm sạc vẫn nhanh, vào mấy ứng dụng mua hàng mà chậm, hay đơ, loa to nhưng dễ bám bụi, giờ không biết sao vệ sinh."
5,"Mình đang sử dụng máy này rất tốt. Mọi người nên cập nhật máy lần thứ 3, máy sẽ trở lại trạng thái bình thường, pin trâu. Còn mọi người người cập nhật lần đầu thì tụt pin nhanh lắm đó là do ứng dụng ạ. Hãy thử xem tại mình đã thử rồi."
2,Máy tụt pin nhanh. Thỉnh thoảng giật và không mượt.
2,"Máy mới mua mà bị đơ, pin tụt nhanh, lỗi loa"
3,"Mới mua mấy hôm, cơ bản Dùng tốt nhưng muốn đổi máy 13 Pro 5G được không. Tính phí như thế nào. Tại nhìn cụm máy ảnh sau to không ưng lắm."
1,"Mình mua hàng trực tuyến cho người thân, lúc nhận hàng không có mình, người thân kể hàng đã được bóc không còn nguyên, kiểm tra máy đã được cài đặt đầy đủ ứng dụng Zalo, Lazada, Facebook.... và các ứng dụng chơi điện tử khác, mình có gọi điện nhân viên và nhân viên xác nhận giao hàng trưng bày. Nhân viên có bảo đem ra trong 24h để được hỗ trợ. Minh thấy Thế Giới Di Động là của hàng lớn nhưng lại giao hàng trung bày khi bán, và mình nghi đây là hàng trả lại từ người khác do đã có đầy đủ ứng dụng thường dùng. Rất không đồng tình với cách làm việc này. Và sẽ không mua đồ từ cửa hàng nữa vì có sự không trung thực với khách hàng."
3,"Điện thoại dùng tạm đc ,không có gì đặc biệt ,mọi thứ ở dạng tạm, chỉ gọi là chạy theo thông số."
4,"Pin con này sạc nhanh nhưng hao nhanh thật, mọi thứ còn lại đều ổn. À mà trong vài trường hợp hiếm hoi nếu ai cắm sạc cho chiếc này mà gặp lỗi không sạc được thì có thể thử khởi động lại thiết bị xem sao nha, mình cũng có bị nhưng sau khi khởi động lại thì máy sạc ngon lành lại rồi."
3,"Mới mua dùng được 1 tuần mà máy thấy nhanh hết pin với đôi lúc hay đơ và chậm. Vấn đề này giải quyết được không ạ, cảm ơn."
1,Dòng điện thoại này thật sự quá tệ. Điện thoạt sạc 1 ngày 3 lần mới đủ dùng. Trong khi chỉ nghe nhạc 1 đến 2 tiếng là hết 50% pin. Máy bị đứng đơ liên tục. Sạc 10 phút mà máy nóng như cục than. Không bao giờ mua lại hãng này
3,"Máy dùng tốt, nhưng pin tụt rất nhanh, sạc 100% lúc 12h để máy đấy đến 8h pin còn 90%."
1,"Dòng này lỗi sạc pin nhé. Mình mua được 1 tuần lỗi sạc pin đổi máy mới giờ 3 ngày lỗi tiếp, nó thích thì vô pin, không thích thì sạc cả tiếng không vô"
3,"Mới dùng 1 tuần pin tụt nhanh, dùng đơ, chụp ảnh xử lý chậm và không được nét lắm, cảm ứng không được mượt lắm, không dùng được một số tính năng khác chưa thử nghiệm. Đừng quá tin vào thông số."
2,"Mình mua máy hồi 17/3 dùng được 2 ngày thì máy ảnh rung, sang đổi máy khác dùng 2,3 ngày lại bị tiếp máy. Tất cả đều ngon nhưng máy ảnh quá kém."
3,Sử dụng được nữa tháng cảm nhận như sau. Máy bắt mạng chỉ ở mức khá. Chụp hình cũng vừa đủ không đẹp. Chơi liên quân cảm nhận không mược bằng điện thoại cũ của mình. Được cái Pin trâu.Thấy rẻ mua sử dụng thử lần đầu. Chưa hài lòng lắm. 
1,Máy đơ quá
5,"Pin trâu, sạc nhanh, cảm ứng nhạy."
3,Chạy chậm
5,Khá ổn. 
2,Máy đơ quá. 
5,"Điện thoại Dùng cực kì tốt, pin sạc nhanh Dùng khoảng hơn 1 ngày, tóm lại là hoàn hảo"
4,Thấy dùng ổn. Chủ yếu nghe gọi nên không đánh giá chi tiết
2,Mua về dùng chưa được tháng mà pin tụt kinh khủng khiếp. Sạc 33w mà sạc cũng chả nhanh lắm. Sạc xong máy nóng bỏng tay luôn. Dùng liên tục tầm hơn 1 tiếng mà vào mạng lướt là giật đùng đùng. Đã ra đổi lại máy khác. Máy mới pin đỡ tụt hơn cái kia nhưng cũng không ngon nghẻ như các dòng Android đã dùng trước đây. Gọi sử dụng máy ảnh tầm 30 phút là nóng máy luôn. Lúc đầu định tìm mua điện thoại của Realme hoặc Samsung mà vào gặp bạn nhân viên hãng của Oppo cứ tư vấn vài câu lại chê mấy hãng kia thế nọ thế kia. Cuối cùng tôi mua hàng hãng Oppo này theo tư vấn của nhân viên hãng mà thất vọng quá thể.
1,"Có lời nguyền với Liên quân, chơi tý là báo nóng ngắt ứng dụng cho dù gắn thêm quạt. Chán chả buồn nói"
5,Đẹp và mạnh mẽ
1,"Nhân viên tính thêm tiền bảo hiểm gì đó. Mình tìm hiểu trước thì thấy không có phí bảo hiểm, không phí hồ sơ."
3,Điện thoại mau hết pin mình mới mua 1 tuần có đổi lại mất bao nhiêu
5,Sản phẩm dùng tốt đánh 10 trận Liên quân tốn 36% pin
5,Sản phẩm tốt đó
3,"Cho mình hỏi tại sao ứng dụng gọi điện, nhắn tin lại như vậy ạ, ô số 1 là ứng dụng của google, còn ô số 2 là ứng dụng mặc định từ nhà sản xuất. Nhu cầu của mình là chỉ dùng ứng dụng của nhà sản xuất thôi, điện thoại mình vừa mua về xem lại thì chỉ có ứng dụng nhắn tin là ứng dụng mặc định, tìm ứng dụng gọi điện mặc định trên máy nhưng không có. "
5,Dùng tốt trong tầm giá
1,Thất vọng về sản phẩm. 
2,Mất tính năng phát dưới nền rồi. Nay loa bị rè hư loa luôn nản thiệt chứ. Tết rồi sửa thì lấy điện thoại đâu để nghe nhạc
4,"Mình định mua Realme C67 nhưng nhân viên tư vấn OPPO A58, đến khi kiểm tra lại thông số thì lại thấy Realme C67 có phần nhỉnh hơn, hơi thất vọng."
4,"Sản phẩm bên cửa hàng Thế Giới Di Động đã sử dụng được hơn 3 tháng, lúc đầu có tính năng phát dưới nền YouTube có, nhưng giờ mất phải làm sao ạ. Mong nhân viên bên cửa hàng hỗ trợ giúp. Cảm ơn"
5,Máy mình vừa mua bên Thế Giới Di Động giờ không dùng nữa bên cửa hàng có thu lại không ạ. 
1,"Pin mau hết, Dùng bình thường lúc Dùng lúc không mà 12 tiếng là hết rồi. Đến chi nhánh mà nhân viên không cho đổi."
5,"Máy mượt, màn hình to, loa khỏe, pin cũng tốt lắm, mạng hay 4G tất cả đều ổn hết. Nhân viên tư vấn nhiệt tình."
3,Cho mình hỏi tắt nguồn điện thoại ở đâu vậy. Máy màu không thật cho lắm.
1,Điện thoại A58 màu màn hình rất tệ. Màu đã xấu với gây ra đau mắt nữa. Rất hối tiếc khi mua điện thoại này với giá 5.490
3,"Bắt mạng chậm. Cảm ứng màn hình tệ, ấn 2 lần để ság màn hình mà phải làm 3 đến 4 lần mới sáng. Bàn phím nhắn tin bị đơ, đang bấm chữ cứ bị đơ hoặc mất khung bàn phím luôn. Không biết có nên ra tiệm để đổi máy khác không vì nhà mình xa."
5,Rất tốt
2,"Mới dùng được 1 ngày mà pin mau hết quá, bắt mạng rất kém. Tôi có thể đổi qua dòng máy khác được không ạ."
3,"Mua sử dụng được 3 ngày. Pin 5000 mà mau hết pin quá, mình không sử dụng liên tục mà chưa hết ngày đã hết pin."
3,Điện thoại Dùng nhanh hết pin quá còn lại mọi thứ đều ổn
5,"Sản phẩm tốt hơn mong đợi. Rất mượt mà, chụp ảnh đẹp. "
4,"Điện thoại đẹp Dùng ổn lắm, mà có cái nó màu hết pin quá đi ạ. Không biết có bị gì không hay là điện thoại nó vậy. Mới góp chưa được tuần ạ."
4,Mình mới mua Oppo A58 này hồi chiều mà giờ muốn đổi lại Vivo Y36 cùng giá ấy vậy có đổi được không.
3,Điện thoại dùng bình thường.
2,"Thấy không ổn ở chỗ định vị thời tiết. Ở Trà Cổ, Tân Phú mà định vị hiện thời tiết ở Võ Đắt, Bình Thuận sáng thức dậy báo trời đang mưa trong khi không mưa. Ít ra cũng phải định vị ở Tân Phú chứ. Ra Thế Giới Di Động thì nhân viên nói là Oppo điện thoại nào cũng định vị như vậy vì cửa hàng ở Tân Phú, nó định vị ở Phương Lâm. Cái điện thoại cũ của mình hiệu khác rẻ tiền hơn mà còn có khả năng định vị đúng mà. Chẳng lẽ điều này Oppo không làm được với cái giá điện thoại mới gần gấp đôi cái điện thoại cũ của mình còn làm được. Thất vọng mong tương lai Oppo sớm cập nhật để cải thiện đi. Có 2 nhân viên 1 là nhân viên Oppo rất nhiệt tình tế nhị còn xin lỗi khách hàng vì trãi nghiệm không vừa ý hứa sẽ hỗ trợ sớm khi có cập nhật mới. Còn 1 nhân viên cửa hàng có lẽ là quản lý thì luôn nói mấy lần câu do điện thoại Oppo nào cũng vậy. Mở lên bản đồ định vị đúng là được thời tiết không ảnh hưởng gì hết. Mình không đồng ý. Sao mà không ảnh hưởng được đây trong khi đang ở tỉnh Đồng Nai báo địa chỉ và thời tiết ở tỉnh Bình Thuận. Nội không việc bỏ ra số tiền gần gấp đôi cái điện thoại cũ mà không có được chức năng đơn giản chính xác như cái điện thoại cũ vẫn đang làm tốt là mình thấy thất vọng rồi. Còn thêm cái vụ thấy bản đồ đúng là được thời tiết không ảnh hưởng. Đợi tới bản đồ sai thì còn gì để nói đối với anh không ảnh hưởng nhưng với khách hàng là tôi rất ảnh hưởng. Cách anh nói vậy nhiều lần làm khách hàng cảm thấy thất vọng. Nên học hỏi cách xử lý vấn đề của nhân viên Oppo. Trong khi đó là điều cơ bản Oppo phải làm được như các điện thoại khác rẻ tiền hơn còn làm được. Thất vọng Oppo 1 thất vọng cách anh xử lý 10."
1,"Máy dùng tầm 40 phút là nóng máy, ra cửa hàng nhân viên tư vấn không vừa ý, thất vọng quá"
5,"Máy Dùng ổn, pin trâu dùng cả ngày không hết. Mới mua có 10 ngày mà hôm nay thấy giảm giá nữa rồi, tiếc quá."
1,Máy chạy chậm. Chơi điện tử hay bị đơ
2,Mới mua khoảng 2 tuần mà vào Facebook đơ quá rồi sao
5,"Máy dùng mượt mà, pin tốt, ổn với tầm tiền. Nhân viên tư vấn bán hàng nhiệt tình. "
5,Nhiên viên tư vấn vui vẻ nhiệt tình chu đáo. Rất hài lòng
5,Sao điện thoại tắt màn hình xong mở lên lâu quá vậy
2,"Máy tệ quá, vào mạng yếu, thất vọng"
1,Chơi điện tử đơ
5,"Điện thoại dùng tốt, nhân viên tư vấn vui vẻ nhiệt tình"
5,"Nhân viên nhiệt tình, năng động"
4,"Pin sạc nhanh, thích chuông to"
5,Điện thoại dùng tốt. 
4,Nhưng mà chưa biết chỗ nào chụp màn hình lại
3,Không đóng được tất cả ứng dụng
5,Dạ điện thoại dùng rất tốt
5,"Rật ổn với tầm giá 5 triệu chơi điện tử, xem phim đều tốt"
5,"Điện thoại trải nghiệm tốt, âm thanh có công nghệ. Oppo có công nghệ sạc nhanh, dùng pin cả ngày không hết."
4,"Âm thanh, hình ảnh chất lượng rất hài lòng."
5,"Điện thoại dùng ổn, pin khoẻ. "
3,"Pin 5000 mà dùng nhanh hết, ngày phải sạc 2 lần"
3,"Mới mua, pin 5000 mà ngày phải sạc 2 lần pin hao nhanh kinh khủng, không dùng để cả đêm pin còn tụt"
4,Mới mua mà sao thấy máy tụt pin nhanh quá còn lại điều ổn.
4,Sản phẩm tốt.
3,"Mình mua điện thoại ngày 5 tháng 9, cần bán lại còn được bao tiền ạ. Còn gói bảo hàng 30 ngày 1 đổi 1"
5,Dùng rất tốt
3,Mới mua hôm qua pin 5000 mà nhanh hết lắm không biết máy bị lỗi gì không. Chán
5,Tốt
5,Mới mua được một tuần trải nghiệm tuyệt vời mọi thứ đều tốt. 
5,Dùng tốt màn hình trong và mượt
1,"Đã trả, đơ kinh khủng"
5,"Máy Dùng mượt, ổn, tốt trong tầm giá, sẽ giới thiệu cho người thân khi mua máy phân khúc hơn 2 triệu."
1,"Mới mua mấy ngày. Hiện tượng giật và đơ rất nhiều. Thoát ra vào cũng bị đơ, chuyển đổi ứng dụng cũng đơ liên tục. Chỉ xem được Youtube, mạng xã hội, nghe gọi thôi. Không chơi điện tử mà cũng giật đơ. Nói chung sản phẩm quá tệ. Không nên mua"
2,Hơi đơ
5,Nói chung mọi thứ đều ổn áp
5,Sử dụng rất tốt và pin được lâu
5,Dùng tốt. Lướt Facebook xem phim ổn. Ai mà muốn mua tặng người thân thì nên mua
4,"Máy lúc đầu không dùng, để qua đêm mất mấy chục phần trăm pin, nhưng khi bật chế độ tiết kiệm pin thì được 1 đến 2 ngày. Máy dùng không nóng, dán cường lực thì máy không nhạy cho lắm"
2,"Mình mới mua tối qua mà dùng máy xíu đã nóng ran, pin hao, lướt nhiều khi bấm chạm mãi máy chưa nhận."
1,"Máy rất tệ, pin kém, mua máy mới thua dòng máy cũ. Dùng sáng giờ còn 38%, pin quá yếu. Mong hãng phản hồi lý do."
2,"Mới mua con Samsung F23 này đúng sai lầm, máy gì hao pin kinh khủng. Không Dùng pin 100% sáng mà đến chiều còn 40%."
2,Em mới mua máy được có mấy ngày mà sao nó hụt pin nhanh vậy anh.
3,"Máy khá đẹp nhưng nhược điểm là hao pin, viền dày. 10 người mua thì 9 người phàn nàn về pin trong đó có mình. "
1,"Điện thoại pin yếu, cảm ứng bấm hay bị đơ và không nhạy. Lúc tư vấn bảo pin dùng thoải mái nhưng thực tế quá kém. "
2,"Pin trên sản phẩm này cực kì tệ luôn. Đã sử dụng rất nhiều biện pháp tiết kiệm pin mà pin vẫn tụt không phanh. Tư vấn viên Thế giới Di Động nói rằng sản phẩm S23 FE này cái gì cũng hơn iPhone 13, pin trâu hơn, công nghệ tốt hơn, mà giá lại mềm hơn, giờ thì nghĩ lại thấy sai sai. Mua dòng S mà không dám Dùng nhiều, sợ nó hết pin. Chuyển dữ liệu từ con Realme 10 4G sang con này mà sau 20 phút con Realme 10 còn 100% pin, con này tụt tầm 10% pin. Mua đâu phải rẻ đâu mà giờ hối hận không biết phải làm sao luôn."
5,"Khá hài lòng sản phẩm,nhân viên hỗ trợ nhiệt tình, cảm ơn Thế Giới Di Động"
2,"Pin xuống dốc không phanh, bàn phím không được mượt lắm, hay bị nóng máy, cầm điện thoại chụp hình có 15 phút mà máy nóng kinh khủng. Nói chung trải nghiệm rất tệ"
5,Ai nói gì thì nói. Nhưng cảm nhận của mình đang Dùng máy Samsung Galaxy S23FE rất tốt và ngon lành. Máy mình mua lúc mới 14 triệu 400 nghìn. Máy sử dụng không nóng máy như mọi người nói. Pin thì Dùng bình thường hơn 1 ngày. Máy Samsung Galaxy S23FE Dùng mọi thứ điều tốt.
3,"Máy đẹp, cấu hình ổn nhưng máy rất hao pin. Không dùng vẫn tuột pin khá nhanh."
2,"Máy nóng rất nhanh, sử dụng tầm 30 phút là nóng muốn bỏng tay"
5,Máy rất đẹp và cấu hình ngon nhé
1,Không nên mua và cũng không hài lòng cách phục vụ
5,Máy mới dùng tốt
2,"Máy lâu lâu có hiện tượng bấm cảm ứng không ăn, chơi điện tử thì di chuyển máy không phản hồi. Giờ đổi qua điện thoại khác thì mất 20% phí. Thất vọng"
2,"Máy pin hơn 4000 mà hao pin khủng khiếp, máy báo 6% pin là đã sập nguồn rồi, hối hận khi bỏ ra hơn 13 triệu."
3,"Máy dùng hơi hao pin, sạc pin nhanh nhưng nóng, nhưng với mức giá này ổn cho dòng s rồi"
1,"Máy nóng quá nhanh, sử dụng tầm 30p đã rất nóng, cảm giác nóng bỏng chứ không nóng bình thường như các loại điện thoại khác. Thật sự không hài lòng và sử dụng điện thoại trong tâm trạng lo lắng bị cháy nổ."
1,Máy nóng rất nhanh. Gọi bằng máy ảnh hoặc điện thoại được vài phút là mất tiếng. Ra Thế Giới Di Động thì nhân viên bảo không lỗi. Mất tiền còn bực mình.
5,"Rất ổn định, chạy mượt, tốt."
4,Tốt nhưng hơi nóng
5,Ngon lành nhé. 
5,Hài lòng. Nhưng không biết làm sao để đăng ký được miễn phí 4 tháng xem Youtube Premium
2,"Máy dùng được lúc đã rất nóng, sạc pin cũng nóng, đến hỏi nhân viên bảo vài ngày hết, mà giờ không hết cũng không cho đổi hàng"
3,"Hao pin quá, để qua đêm tắt hết ứng dụng vẫn tụt pin 10%"
5,"Dùng được 1 tháng, mình toàn dùng 4g, không chơi điện tử. Cảm thấy máy ổn. Pin qua đêm ko thấy tuột dùng bình thường 2 ngày mới sạc. Chủ yếu đọc báo xem phim chút chút. Có điều chơi thử điện tử như liên minh tốc chiến thì chỉ được cấu hình trung bình thôi. Máy này mua về cho phụ huynh hay dân văn phòng thì ổn chứ chưa ngon. Để dùng qua 1 năm mà pin vẫn cầm và cảm ứng mượt như bây giờ thì mình đánh giá nó tốt so với nhu cầu bản thân."
4,Máy dùng bị nóng máy rất nhanh mua chưa được 1 tháng
3,"Gọi bằng máy ảnh, xem Tiktok, chơi điện tử,... Nó nóng dữ dội, phải đem lại quạt cho nó mát, vậy là có bị hỏng gì không"
5,Điện thoại quá chất và đẹp
4,Với số tiền tầm chung thì dùng khá ổn
5,Mua tặng vợ dùng thấy rất ổn
1,Sản phẩm không phụ vụ được công việc của tôi. Đã ra cửa hàng nhưng cửa hàng không giải quyết được
